Date,Open,High,Low,Close,Adj Close,Volume
2019-11-15,370.000000,373.480011,369.299988,371.679993,369.481689,5493100
2019-11-18,371.670013,375.600006,367.899994,369.459991,367.274811,3823800
2019-11-19,373.510010,374.829987,361.609985,367.000000,364.829376,6670200
2019-11-20,366.000000,370.989990,365.750000,370.910004,368.716248,3774800
2019-11-21,369.750000,370.760010,366.260010,366.440002,364.272675,2703800
2019-11-22,368.269989,373.549988,366.609985,371.339996,369.143707,3915700
2019-11-25,372.519989,374.299988,369.200012,373.130005,370.923126,3324400
2019-11-26,373.660004,374.769989,371.359985,373.510010,371.300873,2859000
2019-11-27,369.959991,371.829987,366.799988,368.000000,365.823456,4145000
2019-11-29,367.500000,368.299988,366.179993,366.179993,364.014221,1390900
2019-12-02,367.079987,367.380005,355.160004,355.179993,353.079285,4794500
2019-12-03,352.089996,355.559998,347.609985,352.079987,349.997620,4683500
2019-12-04,354.700012,355.290009,348.820007,348.839996,346.776764,3014200
2019-12-05,350.220001,350.420013,345.589996,345.679993,343.635468,4719600
2019-12-06,347.739990,354.399994,347.109985,354.089996,351.995728,2856100
2019-12-09,352.670013,353.600006,349.570007,351.209991,349.132751,2844600
2019-12-10,350.149994,351.399994,347.450012,347.899994,345.842346,2920900
2019-12-11,342.100006,350.029999,338.500000,350.000000,347.929932,7369100
2019-12-12,348.250000,351.070007,341.000000,346.290009,344.241882,5970000
2019-12-13,346.299988,349.309998,341.100006,341.670013,339.649200,4526300
2019-12-16,328.529999,336.230011,326.429993,327.000000,325.065948,16488200
2019-12-17,322.059998,330.950012,320.609985,327.000000,325.065948,13526400
2019-12-18,328.720001,335.250000,328.140015,330.679993,328.724182,7029300
2019-12-19,332.899994,334.809998,330.980011,333.500000,331.527496,5492600
2019-12-20,334.619995,335.500000,328.000000,328.000000,326.060028,9489400
2019-12-23,336.750000,340.589996,334.200012,337.549988,335.553558,9534800
2019-12-24,339.510010,339.750000,332.619995,333.000000,331.030457,4120100
2019-12-26,332.700012,333.359985,329.299988,329.920013,327.968689,4593400
2019-12-27,330.200012,333.649994,329.170013,330.140015,328.187408,4124000
2019-12-30,330.500000,330.630005,325.709991,326.399994,324.469513,4525500
2019-12-31,325.410004,326.570007,323.320007,325.760010,323.833313,4958800
2020-01-02,328.549988,333.350006,327.700012,333.320007,331.348572,4544400
2020-01-03,330.630005,334.890015,330.299988,332.760010,330.791901,3875900
2020-01-06,329.299988,334.859985,327.880005,333.739990,331.766083,5355000
2020-01-07,334.260010,344.190002,330.709991,337.279999,335.285156,9898600
2020-01-08,332.399994,334.029999,329.600006,331.369995,329.410095,8239200
2020-01-09,334.950012,341.730011,332.049988,336.339996,334.350708,8175600
2020-01-10,335.559998,337.700012,329.450012,329.920013,327.968689,7161700
2020-01-13,332.399994,334.100006,330.079987,330.220001,328.266907,5648500
2020-01-14,330.760010,335.350006,328.279999,332.350006,330.384308,6945300
2020-01-15,332.350006,333.109985,329.690002,329.799988,327.849396,4578300
2020-01-16,331.049988,332.869995,329.309998,332.000000,330.036377,4024100
2020-01-17,332.390015,332.500000,323.000000,324.149994,322.232819,11061700
2020-01-21,322.600006,326.600006,305.750000,313.369995,311.516571,19318000
2020-01-22,309.820007,312.839996,302.720001,309.000000,307.172424,18792600
2020-01-23,308.500000,318.170013,307.700012,317.790009,315.910431,9702100
2020-01-24,322.000000,326.200012,312.510010,323.049988,321.139313,17798200
2020-01-27,316.209991,321.260010,314.579987,316.600006,314.727478,7468100
2020-01-28,318.049988,319.359985,314.000000,316.559998,314.687714,5502200
2020-01-29,324.350006,327.179993,319.140015,322.019989,320.115387,12454700
2020-01-30,320.500000,325.350006,317.640015,323.299988,321.387817,6022000
2020-01-31,321.750000,321.929993,316.989990,318.269989,316.387573,4999600
2020-02-03,318.750000,320.739990,314.880005,316.000000,314.131012,4847700
2020-02-04,318.279999,319.480011,315.029999,317.940002,316.059540,3779800
2020-02-05,320.500000,329.679993,319.230011,329.549988,327.600861,6071800
2020-02-06,330.910004,343.440002,325.660004,341.429993,339.410614,12845500
2020-02-07,340.369995,340.739990,335.690002,336.750000,334.758301,5337800
2020-02-10,337.220001,345.940002,336.320007,344.670013,342.631470,5876400
2020-02-11,347.640015,348.070007,342.100006,344.420013,342.382935,5311500
2020-02-12,346.420013,349.950012,345.850006,347.450012,345.395020,4421500
2020-02-13,344.320007,347.890015,342.630005,342.820007,342.820007,3783100
2020-02-14,342.299988,344.500000,338.000000,340.489990,340.489990,4199800
2020-02-18,338.769989,339.989990,336.100006,338.880005,338.880005,2904600
2020-02-19,338.119995,341.470001,335.859985,338.299988,338.299988,4935700
2020-02-20,338.290009,341.239990,335.390015,336.279999,336.279999,2807500
2020-02-21,334.049988,334.660004,330.230011,330.380005,330.380005,3709900
2020-02-24,320.000000,321.739990,316.329987,317.899994,317.899994,6073200
2020-02-25,318.260010,320.640015,303.630005,304.140015,304.140015,8052500
2020-02-26,307.000000,315.220001,304.059998,305.589996,305.589996,6987300
2020-02-27,300.369995,301.000000,284.290009,287.760010,287.760010,10982400
2020-02-28,278.070007,282.859985,269.600006,275.109985,275.109985,15375100
2020-03-02,279.540009,291.709991,274.290009,289.269989,289.269989,11012300
2020-03-03,292.000000,297.440002,278.079987,280.619995,280.619995,7499300
2020-03-04,284.549988,285.910004,277.010010,283.119995,283.119995,6986100
2020-03-05,275.790009,276.309998,259.649994,260.369995,260.369995,14669100
2020-03-06,253.699997,264.290009,249.800003,262.329987,262.329987,12861800
2020-03-09,238.000000,241.479996,224.369995,227.169998,227.169998,11585500
2020-03-10,237.000000,237.830002,215.000000,231.009995,231.009995,13059600
2020-03-11,222.990005,226.990005,187.000000,189.080002,189.080002,28503500
2020-03-12,160.529999,189.850006,154.809998,154.839996,154.839996,31734400
2020-03-13,174.970001,178.279999,161.380005,170.199997,170.199997,21168500
2020-03-16,149.419998,151.000000,128.759995,129.610001,129.610001,26844400
2020-03-17,132.509995,134.960007,101.250000,124.139999,124.139999,54492200
2020-03-18,99.860001,107.849998,89.000000,101.889999,101.889999,61943200
2020-03-19,98.800003,103.570000,90.349998,97.709999,97.709999,40210600
2020-03-20,99.849998,107.000000,94.279999,95.010002,95.010002,41370700
2020-03-23,98.750000,114.489998,93.559998,105.620003,105.620003,46140100
2020-03-24,123.680000,127.959999,116.129997,127.680000,127.680000,43683100
2020-03-25,154.899994,174.770004,141.000000,158.729996,158.729996,77826000
2020-03-26,172.289993,186.479996,167.179993,180.550003,180.550003,63267300
2020-03-27,172.000000,172.919998,155.539993,162.000000,162.000000,47880200
2020-03-30,153.809998,153.809998,140.679993,152.279999,152.279999,51052500
2020-03-31,155.000000,160.639999,149.000000,149.139999,149.139999,29954000
2020-04-01,138.910004,144.380005,130.000000,130.699997,130.699997,41899700
2020-04-02,128.509995,136.679993,120.019997,123.269997,123.269997,42372400
2020-04-03,125.000000,131.289993,122.500000,124.519997,124.519997,37347400
2020-04-06,133.699997,149.690002,129.210007,148.770004,148.770004,51085500
2020-04-07,162.000000,164.800003,140.259995,141.580002,141.580002,56699100
2020-04-08,147.509995,154.000000,144.550003,146.869995,146.869995,41351000
2020-04-09,154.710007,157.979996,150.089996,151.839996,151.839996,38049500
2020-04-13,155.500000,156.000000,146.259995,147.330002,147.330002,26034100
2020-04-14,150.509995,152.399994,140.000000,141.000000,141.000000,33820100
