Date,Open,High,Low,Close,Adj Close,Volume
2019-11-15,220.000000,221.089996,219.039993,220.250000,217.684158,1693100
2019-11-18,219.729996,219.949997,218.039993,219.729996,217.170212,1603400
2019-11-19,220.559998,220.679993,218.309998,220.039993,217.476593,1817100
2019-11-20,218.360001,219.470001,216.399994,217.910004,215.371429,2177700
2019-11-21,218.600006,219.320007,216.820007,218.229996,215.687683,1677500
2019-11-22,218.000000,220.710007,218.000000,220.279999,217.713806,1529100
2019-11-25,220.889999,223.949997,220.889999,222.750000,220.155029,2181800
2019-11-26,222.679993,222.759995,221.110001,222.449997,219.858536,1926300
2019-11-27,223.449997,224.279999,221.860001,222.949997,220.352707,1614600
2019-11-29,220.880005,222.000000,220.410004,221.350006,220.004837,770400
2019-12-02,220.970001,221.800003,217.080002,217.639999,216.317383,2118500
2019-12-03,215.429993,215.429993,210.000000,212.240005,210.950195,3207100
2019-12-04,213.539993,216.990005,212.380005,215.940002,214.627716,1583600
2019-12-05,217.149994,217.630005,215.419998,217.139999,215.820419,1329300
2019-12-06,219.949997,225.399994,218.820007,224.610001,223.245026,4229400
2019-12-09,224.610001,224.649994,221.770004,221.809998,220.462036,2134600
2019-12-10,221.669998,222.880005,220.550003,221.880005,220.531616,1854100
2019-12-11,222.250000,222.850006,220.839996,221.190002,219.845810,1778600
2019-12-12,221.910004,226.779999,220.600006,226.050003,224.676270,2974300
2019-12-13,226.720001,227.990005,223.699997,225.000000,223.632645,1908200
2019-12-16,228.500000,230.699997,227.869995,228.039993,226.654175,3218400
2019-12-17,230.000000,232.070007,228.800003,231.149994,229.745270,3590000
2019-12-18,231.970001,232.199997,229.940002,230.449997,229.049530,2280800
2019-12-19,230.949997,231.389999,228.960007,229.940002,228.542633,2418100
2019-12-20,230.960007,231.289993,228.619995,228.929993,227.538757,3715500
2019-12-23,229.660004,230.479996,228.410004,229.089996,227.697784,1670400
2019-12-24,228.979996,229.949997,228.369995,229.910004,228.512817,467700
2019-12-26,230.259995,232.199997,229.990005,231.210007,229.804916,1704000
2019-12-27,231.809998,232.210007,230.470001,230.660004,229.258255,1343900
2019-12-30,231.679993,231.679993,229.500000,229.800003,228.403488,1494500
2019-12-31,229.710007,229.970001,228.669998,229.929993,228.532684,1447200
2020-01-02,231.000000,234.639999,230.160004,234.320007,232.896011,3736300
2020-01-03,231.600006,232.610001,230.300003,231.580002,230.172668,2274500
2020-01-06,229.929993,234.020004,229.490005,233.949997,232.528259,3329300
2020-01-07,235.000000,237.770004,234.759995,235.490005,234.058914,5255200
2020-01-08,235.679993,239.750000,235.479996,237.759995,236.315094,3564700
2020-01-09,241.339996,243.399994,239.820007,242.600006,241.125702,3980700
2020-01-10,242.750000,243.389999,241.389999,242.110001,240.638672,2248100
2020-01-13,244.440002,246.110001,243.000000,245.210007,243.719833,3359200
2020-01-14,245.320007,248.520004,244.600006,245.660004,244.167099,4302800
2020-01-15,242.000000,249.500000,239.160004,245.210007,243.719833,5411200
2020-01-16,247.009995,249.820007,246.229996,249.720001,248.202423,3968400
2020-01-17,250.229996,250.460007,248.000000,249.460007,247.944016,3108400
2020-01-21,247.210007,248.850006,245.600006,245.699997,244.206848,2492400
2020-01-22,246.610001,248.520004,246.339996,247.050003,245.548660,2030900
2020-01-23,244.500000,247.000000,242.880005,245.580002,244.087585,2806800
2020-01-24,245.070007,245.710007,240.600006,241.919998,240.449829,2877400
2020-01-27,236.369995,238.990005,235.009995,238.139999,236.692795,2506200
2020-01-28,239.490005,243.580002,238.050003,242.580002,241.105820,3123000
2020-01-29,244.520004,246.500000,239.570007,240.119995,238.660767,3711600
2020-01-30,237.690002,244.339996,236.729996,244.130005,242.646393,3261700
2020-01-31,241.990005,242.889999,236.880005,237.750000,236.305161,3482800
2020-02-03,238.360001,242.389999,238.050003,239.009995,237.557510,2733000
2020-02-04,242.880005,243.740005,241.550003,241.940002,240.469711,3052500
2020-02-05,244.990005,245.130005,243.000000,244.300003,242.815369,3126600
2020-02-06,245.350006,245.770004,241.179993,241.820007,240.350433,2225600
2020-02-07,239.750000,240.520004,236.550003,238.000000,236.553650,3006500
2020-02-10,237.399994,237.869995,235.460007,237.360001,235.917542,2591300
2020-02-11,239.000000,239.550003,236.220001,236.460007,235.023010,2238800
2020-02-12,238.009995,241.179993,237.720001,238.649994,237.199692,2119200
2020-02-13,237.850006,238.970001,236.570007,238.350006,236.901520,1461300
2020-02-14,237.940002,239.009995,236.229996,237.080002,235.639236,1718700
2020-02-18,236.550003,237.070007,231.199997,233.210007,231.792770,2736500
2020-02-19,235.000000,237.800003,233.279999,237.330002,235.887726,2207100
2020-02-20,236.410004,236.899994,231.250000,232.729996,231.315674,3183700
2020-02-21,230.910004,231.800003,228.369995,230.619995,229.218491,3081600
2020-02-24,223.229996,226.690002,222.539993,224.539993,223.175446,4139400
2020-02-25,224.779999,225.869995,215.889999,217.610001,216.287567,5343100
2020-02-26,218.699997,220.000000,214.759995,215.779999,214.468674,4171100
2020-02-27,210.490005,213.479996,205.369995,205.690002,204.440002,5848200
2020-02-28,199.089996,202.250000,194.850006,200.770004,200.770004,6740700
2020-03-02,201.410004,209.619995,197.630005,209.470001,209.470001,5285500
2020-03-03,209.000000,211.789993,202.119995,203.429993,203.429993,5677200
2020-03-04,205.839996,208.919998,202.699997,208.740005,208.740005,3520400
2020-03-05,201.330002,203.470001,196.949997,198.789993,198.789993,4151500
2020-03-06,190.679993,196.300003,189.279999,192.850006,192.850006,5071900
2020-03-09,173.580002,179.250000,170.160004,172.809998,172.809998,6443000
2020-03-10,181.619995,185.399994,173.289993,184.350006,184.350006,6803900
2020-03-11,178.479996,180.770004,170.970001,171.889999,171.889999,5314000
2020-03-12,160.000000,166.750000,150.000000,150.679993,150.679993,8357700
2020-03-13,162.820007,177.559998,152.350006,177.169998,177.169998,6368400
2020-03-16,150.229996,169.539993,150.000000,154.660004,154.660004,6888000
2020-03-17,157.000000,166.740005,150.000000,158.669998,158.669998,6876300
2020-03-18,150.000000,155.970001,135.410004,140.020004,140.020004,9543200
2020-03-19,137.380005,152.490005,130.850006,149.490005,149.490005,6548200
2020-03-20,148.990005,149.190002,138.289993,138.410004,138.410004,7561300
2020-03-23,136.029999,141.940002,133.259995,134.970001,134.970001,5472600
2020-03-24,144.320007,153.899994,143.630005,153.600006,153.600006,6647400
2020-03-25,154.600006,162.210007,145.320007,155.130005,155.130005,8587800
2020-03-26,156.369995,167.660004,154.309998,165.789993,165.789993,6762200
2020-03-27,159.080002,163.729996,157.000000,158.339996,158.339996,4186700
2020-03-30,158.520004,160.429993,153.179993,159.619995,159.619995,4152800
2020-03-31,158.130005,161.100006,153.720001,154.589996,154.589996,3588200
2020-04-01,146.100006,149.570007,145.000000,145.289993,145.289993,4689100
2020-04-02,143.020004,150.449997,141.669998,149.929993,149.929993,4446900
2020-04-03,149.199997,150.919998,145.229996,146.929993,146.929993,2801600
2020-04-06,155.470001,158.929993,153.770004,158.229996,158.229996,4689400
2020-04-07,166.000000,169.139999,162.449997,166.020004,166.020004,4953500
2020-04-08,168.550003,178.100006,168.550003,176.960007,176.960007,5194800
2020-04-09,180.580002,187.330002,179.770004,184.259995,184.259995,6449900
2020-04-13,183.850006,184.970001,179.130005,179.179993,179.179993,4774300
2020-04-14,182.350006,183.380005,174.539993,178.229996,178.229996,4142100
